country,year,variable,cutpoint,y_r,n,cc_rank,firstyr,lastyr,variable_cp,ccode,tcode,qcode,rcode,ktcode
United Kingdom,1985,gov.res5,1,2844,3026,351,1976,2014,gov.res5_gt1,1,10,5,11,10
United Kingdom,1985,gov.res5,2,2314,3026,351,1976,2014,gov.res5_gt2,1,10,5,12,10
United Kingdom,1985,gov.res5,3,1568,3026,351,1976,2014,gov.res5_gt3,1,10,5,13,10
United Kingdom,1985,gov.res5,4,672,3026,351,1976,2014,gov.res5_gt4,1,10,5,14,10
United Kingdom,1985,taxshare5,1,1480,1481,351,1976,2014,taxshare5_gt1,1,10,6,15,10
United Kingdom,1985,taxshare5,2,1468,1481,351,1976,2014,taxshare5_gt2,1,10,6,16,10
United Kingdom,1985,taxshare5,3,1133,1481,351,1976,2014,taxshare5_gt3,1,10,6,17,10
United Kingdom,1985,taxshare5,4,361,1481,351,1976,2014,taxshare5_gt4,1,10,6,18,10
United Kingdom,1986,gov.res4,1,1147,1256,351,1976,2014,gov.res4_gt1,1,11,4,8,11
United Kingdom,1986,gov.res4,2,954,1256,351,1976,2014,gov.res4_gt2,1,11,4,9,11
United Kingdom,1986,gov.res4,3,602,1256,351,1976,2014,gov.res4_gt3,1,11,4,10,11
United Kingdom,1986,gov.res5,1,1263,1318,351,1976,2014,gov.res5_gt1,1,11,5,11,11
United Kingdom,1986,gov.res5,2,1039,1318,351,1976,2014,gov.res5_gt2,1,11,5,12,11
United Kingdom,1986,gov.res5,3,780,1318,351,1976,2014,gov.res5_gt3,1,11,5,13,11
United Kingdom,1986,gov.res5,4,320,1318,351,1976,2014,gov.res5_gt4,1,11,5,14,11
United Kingdom,1986,redist5,1,1154,1302,351,1976,2014,redist5_gt1,1,11,7,19,11
United Kingdom,1986,redist5,2,730,1302,351,1976,2014,redist5_gt2,1,11,7,20,11
United Kingdom,1986,redist5,3,395,1302,351,1976,2014,redist5_gt3,1,11,7,21,11
United Kingdom,1986,redist5,4,68,1302,351,1976,2014,redist5_gt4,1,11,7,22,11
United Kingdom,1987,gov.res5,1,1134,1171,351,1976,2014,gov.res5_gt1,1,12,5,11,12
United Kingdom,1987,gov.res5,2,904,1171,351,1976,2014,gov.res5_gt2,1,12,5,12,12
United Kingdom,1987,gov.res5,3,756,1171,351,1976,2014,gov.res5_gt3,1,12,5,13,12
United Kingdom,1987,gov.res5,4,248,1171,351,1976,2014,gov.res5_gt4,1,12,5,14,12
United Kingdom,1987,taxshare5,1,1165,1166,351,1976,2014,taxshare5_gt1,1,12,6,15,12
United Kingdom,1987,taxshare5,2,1149,1166,351,1976,2014,taxshare5_gt2,1,12,6,16,12
United Kingdom,1987,taxshare5,3,899,1166,351,1976,2014,taxshare5_gt3,1,12,6,17,12
United Kingdom,1987,taxshare5,4,233,1166,351,1976,2014,taxshare5_gt4,1,12,6,18,12
United Kingdom,1987,redist5,1,2079,2450,351,1976,2014,redist5_gt1,1,12,7,19,12
United Kingdom,1987,redist5,2,1333,2450,351,1976,2014,redist5_gt2,1,12,7,20,12
United Kingdom,1987,redist5,3,831,2450,351,1976,2014,redist5_gt3,1,12,7,21,12
United Kingdom,1987,redist5,4,178,2450,351,1976,2014,redist5_gt4,1,12,7,22,12
United Kingdom,1987,incent4,1,994,1158,351,1976,2014,incent4_gt1,1,12,8,23,12
United Kingdom,1987,incent4,2,415,1158,351,1976,2014,incent4_gt2,1,12,8,24,12
United Kingdom,1987,incent4,3,150,1158,351,1976,2014,incent4_gt3,1,12,8,25,12
United Kingdom,1987,basic5,1,1134,1179,351,1976,2014,basic5_gt1,1,12,9,26,12
United Kingdom,1987,basic5,2,871,1179,351,1976,2014,basic5_gt2,1,12,9,27,12
United Kingdom,1987,basic5,3,714,1179,351,1976,2014,basic5_gt3,1,12,9,28,12
United Kingdom,1987,basic5,4,238,1179,351,1976,2014,basic5_gt4,1,12,9,29,12
United Kingdom,1987,grow5,1,2177,2332,351,1976,2014,grow5_gt1,1,12,10,30,12
United Kingdom,1987,grow5,2,1457,2332,351,1976,2014,grow5_gt2,1,12,10,31,12
United Kingdom,1987,grow5,3,875,2332,351,1976,2014,grow5_gt3,1,12,10,32,12
United Kingdom,1987,grow5,4,155,2332,351,1976,2014,grow5_gt4,1,12,10,33,12
United Kingdom,1987,incgap5,1,2322,2354,351,1976,2014,incgap5_gt1,1,12,11,34,12
United Kingdom,1987,incgap5,2,2092,2354,351,1976,2014,incgap5_gt2,1,12,11,35,12
United Kingdom,1987,incgap5,3,1794,2354,351,1976,2014,incgap5_gt3,1,12,11,36,12
United Kingdom,1987,incgap5,4,616,2354,351,1976,2014,incgap5_gt4,1,12,11,37,12
United Kingdom,1988,import4,1,1093,1229,351,1976,2014,import4_gt1,1,13,1,1,13
United Kingdom,1988,import4,2,846,1229,351,1976,2014,import4_gt2,1,13,1,2,13
United Kingdom,1988,import4,3,378,1229,351,1976,2014,import4_gt3,1,13,1,3,13
United Kingdom,1988,free.eq2,1,472,1225,351,1976,2014,free.eq2_gt1,1,13,3,7,13
United Kingdom,1989,redist5,1,2088,2572,351,1976,2014,redist5_gt1,1,14,7,19,14
United Kingdom,1989,redist5,2,1267,2572,351,1976,2014,redist5_gt2,1,14,7,20,14
United Kingdom,1989,redist5,3,746,2572,351,1976,2014,redist5_gt3,1,14,7,21,14
United Kingdom,1989,redist5,4,172,2572,351,1976,2014,redist5_gt4,1,14,7,22,14
United Kingdom,1990,free.eq2,1,456,1384,351,1976,2014,free.eq2_gt1,1,15,3,7,15
United Kingdom,1990,gov.res4,1,2048,2274,351,1976,2014,gov.res4_gt1,1,15,4,8,15
United Kingdom,1990,gov.res4,2,1684,2274,351,1976,2014,gov.res4_gt2,1,15,4,9,15
United Kingdom,1990,gov.res4,3,960,2274,351,1976,2014,gov.res4_gt3,1,15,4,10,15
United Kingdom,1990,gov.res5,1,2262,2372,351,1976,2014,gov.res5_gt1,1,15,5,11,15
United Kingdom,1990,gov.res5,2,1784,2372,351,1976,2014,gov.res5_gt2,1,15,5,12,15
United Kingdom,1990,gov.res5,3,1346,2372,351,1976,2014,gov.res5_gt3,1,15,5,13,15
United Kingdom,1990,gov.res5,4,444,2372,351,1976,2014,gov.res5_gt4,1,15,5,14,15
United Kingdom,1990,taxshare5,1,1156,1159,351,1976,2014,taxshare5_gt1,1,15,6,15,15
United Kingdom,1990,taxshare5,2,1151,1159,351,1976,2014,taxshare5_gt2,1,15,6,16,15
United Kingdom,1990,taxshare5,3,986,1159,351,1976,2014,taxshare5_gt3,1,15,6,17,15
United Kingdom,1990,taxshare5,4,252,1159,351,1976,2014,taxshare5_gt4,1,15,6,18,15
United Kingdom,1990,redist5,1,1977,2400,351,1976,2014,redist5_gt1,1,15,7,19,15
United Kingdom,1990,redist5,2,1199,2400,351,1976,2014,redist5_gt2,1,15,7,20,15
United Kingdom,1990,redist5,3,726,2400,351,1976,2014,redist5_gt3,1,15,7,21,15
United Kingdom,1990,redist5,4,132,2400,351,1976,2014,redist5_gt4,1,15,7,22,15
United Kingdom,1990,incent10,1,1301,1457,351,1976,2014,incent10_gt1,1,15,12,38,15
United Kingdom,1990,incent10,2,1184,1457,351,1976,2014,incent10_gt2,1,15,12,39,15
United Kingdom,1990,incent10,3,815,1457,351,1976,2014,incent10_gt3,1,15,12,40,15
United Kingdom,1990,incent10,4,607,1457,351,1976,2014,incent10_gt4,1,15,12,41,15
United Kingdom,1990,incent10,5,464,1457,351,1976,2014,incent10_gt5,1,15,12,42,15
United Kingdom,1990,incent10,6,314,1457,351,1976,2014,incent10_gt6,1,15,12,43,15
United Kingdom,1990,incent10,7,218,1457,351,1976,2014,incent10_gt7,1,15,12,44,15
United Kingdom,1990,incent10,8,128,1457,351,1976,2014,incent10_gt8,1,15,12,45,15
United Kingdom,1990,incent10,9,67,1457,351,1976,2014,incent10_gt9,1,15,12,46,15
United Kingdom,1991,import4,1,1222,1304,351,1976,2014,import4_gt1,1,16,1,1,16
United Kingdom,1991,import4,2,1006,1304,351,1976,2014,import4_gt2,1,16,1,2,16
United Kingdom,1991,import4,3,571,1304,351,1976,2014,import4_gt3,1,16,1,3,16
United Kingdom,1991,gov.res4,1,1972,2292,351,1976,2014,gov.res4_gt1,1,16,4,8,16
United Kingdom,1991,gov.res4,2,1696,2292,351,1976,2014,gov.res4_gt2,1,16,4,9,16
United Kingdom,1991,gov.res4,3,918,2292,351,1976,2014,gov.res4_gt3,1,16,4,10,16
United Kingdom,1991,redist5,1,2300,2633,351,1976,2014,redist5_gt1,1,16,7,19,16
United Kingdom,1991,redist5,2,1323,2633,351,1976,2014,redist5_gt2,1,16,7,20,16
United Kingdom,1991,redist5,3,793,2633,351,1976,2014,redist5_gt3,1,16,7,21,16
United Kingdom,1991,redist5,4,98,2633,351,1976,2014,redist5_gt4,1,16,7,22,16
United Kingdom,1992,gov.res5,1,989,1025,351,1976,2014,gov.res5_gt1,1,17,5,11,17
United Kingdom,1992,gov.res5,2,821,1025,351,1976,2014,gov.res5_gt2,1,17,5,12,17
United Kingdom,1992,gov.res5,3,676,1025,351,1976,2014,gov.res5_gt3,1,17,5,13,17
United Kingdom,1992,gov.res5,4,275,1025,351,1976,2014,gov.res5_gt4,1,17,5,14,17
United Kingdom,1992,grow5,1,992,1033,351,1976,2014,grow5_gt1,1,17,10,30,17
United Kingdom,1992,grow5,2,838,1033,351,1976,2014,grow5_gt2,1,17,10,31,17
United Kingdom,1992,grow5,3,614,1033,351,1976,2014,grow5_gt3,1,17,10,32,17
United Kingdom,1992,grow5,4,132,1033,351,1976,2014,grow5_gt4,1,17,10,33,17
United Kingdom,1992,incgap5,1,1029,1039,351,1976,2014,incgap5_gt1,1,17,11,34,17
United Kingdom,1992,incgap5,2,953,1039,351,1976,2014,incgap5_gt2,1,17,11,35,17
United Kingdom,1992,incgap5,3,846,1039,351,1976,2014,incgap5_gt3,1,17,11,36,17
United Kingdom,1992,incgap5,4,385,1039,351,1976,2014,incgap5_gt4,1,17,11,37,17
United Kingdom,1995,import4,1,1287,1330,351,1976,2014,import4_gt1,1,20,1,1,20
United Kingdom,1995,import4,2,1125,1330,351,1976,2014,import4_gt2,1,20,1,2,20
United Kingdom,1995,import4,3,669,1330,351,1976,2014,import4_gt3,1,20,1,3,20
United Kingdom,1996,gov.res4,1,1632,1826,351,1976,2014,gov.res4_gt1,1,21,4,8,21
United Kingdom,1996,gov.res4,2,1229,1826,351,1976,2014,gov.res4_gt2,1,21,4,9,21
United Kingdom,1996,gov.res4,3,634,1826,351,1976,2014,gov.res4_gt3,1,21,4,10,21
United Kingdom,1996,gov.res5,1,883,945,351,1976,2014,gov.res5_gt1,1,21,5,11,21
United Kingdom,1996,gov.res5,2,711,945,351,1976,2014,gov.res5_gt2,1,21,5,12,21
United Kingdom,1996,gov.res5,3,508,945,351,1976,2014,gov.res5_gt3,1,21,5,13,21
United Kingdom,1996,gov.res5,4,198,945,351,1976,2014,gov.res5_gt4,1,21,5,14,21
United Kingdom,1996,redist5,1,8863,10261,351,1976,2014,redist5_gt1,1,21,7,19,21
United Kingdom,1996,redist5,2,5353,10261,351,1976,2014,redist5_gt2,1,21,7,20,21
United Kingdom,1996,redist5,3,2929,10261,351,1976,2014,redist5_gt3,1,21,7,21,21
United Kingdom,1996,redist5,4,422,10261,351,1976,2014,redist5_gt4,1,21,7,22,21
United Kingdom,1996,incdiff,1,2452,3096,351,1976,2014,incdiff_gt1,1,21,13,47,21
United Kingdom,1996,incdiff,2,1357,3096,351,1976,2014,incdiff_gt2,1,21,13,48,21
United Kingdom,1996,incdiff,3,772,3096,351,1976,2014,incdiff_gt3,1,21,13,49,21
United Kingdom,1996,incdiff,4,212,3096,351,1976,2014,incdiff_gt4,1,21,13,50,21
United Kingdom,1996,import2,1,1335,1552,351,1976,2014,import2_gt1,1,21,14,51,21
United Kingdom,1998,gov.res4,1,1342,1450,351,1976,2014,gov.res4_gt1,1,23,4,8,23
United Kingdom,1998,gov.res4,2,1184,1450,351,1976,2014,gov.res4_gt2,1,23,4,9,23
United Kingdom,1998,gov.res4,3,630,1450,351,1976,2014,gov.res4_gt3,1,23,4,10,23
United Kingdom,1998,redist5,1,2266,2472,351,1976,2014,redist5_gt1,1,23,7,19,23
United Kingdom,1998,redist5,2,1499,2472,351,1976,2014,redist5_gt2,1,23,7,20,23
United Kingdom,1998,redist5,3,791,2472,351,1976,2014,redist5_gt3,1,23,7,21,23
United Kingdom,1998,redist5,4,116,2472,351,1976,2014,redist5_gt4,1,23,7,22,23
United Kingdom,1998,incent10,1,983,1063,351,1976,2014,incent10_gt1,1,23,12,38,23
United Kingdom,1998,incent10,2,964,1063,351,1976,2014,incent10_gt2,1,23,12,39,23
United Kingdom,1998,incent10,3,843,1063,351,1976,2014,incent10_gt3,1,23,12,40,23
United Kingdom,1998,incent10,4,713,1063,351,1976,2014,incent10_gt4,1,23,12,41,23
United Kingdom,1998,incent10,5,603,1063,351,1976,2014,incent10_gt5,1,23,12,42,23
United Kingdom,1998,incent10,6,381,1063,351,1976,2014,incent10_gt6,1,23,12,43,23
United Kingdom,1998,incent10,7,308,1063,351,1976,2014,incent10_gt7,1,23,12,44,23
United Kingdom,1998,incent10,8,218,1063,351,1976,2014,incent10_gt8,1,23,12,45,23
United Kingdom,1998,incent10,9,191,1063,351,1976,2014,incent10_gt9,1,23,12,46,23
United Kingdom,1999,free.eq2,1,289,831,351,1976,2014,free.eq2_gt1,1,24,3,7,24
United Kingdom,1999,gov.res5,1,787,804,351,1976,2014,gov.res5_gt1,1,24,5,11,24
United Kingdom,1999,gov.res5,2,689,804,351,1976,2014,gov.res5_gt2,1,24,5,12,24
United Kingdom,1999,gov.res5,3,566,804,351,1976,2014,gov.res5_gt3,1,24,5,13,24
United Kingdom,1999,gov.res5,4,189,804,351,1976,2014,gov.res5_gt4,1,24,5,14,24
United Kingdom,1999,redist5,1,2200,2399,351,1976,2014,redist5_gt1,1,24,7,19,24
United Kingdom,1999,redist5,2,1515,2399,351,1976,2014,redist5_gt2,1,24,7,20,24
United Kingdom,1999,redist5,3,859,2399,351,1976,2014,redist5_gt3,1,24,7,21,24
United Kingdom,1999,redist5,4,128,2399,351,1976,2014,redist5_gt4,1,24,7,22,24
United Kingdom,1999,grow5,1,1418,1570,351,1976,2014,grow5_gt1,1,24,10,30,24
United Kingdom,1999,grow5,2,683,1570,351,1976,2014,grow5_gt2,1,24,10,31,24
United Kingdom,1999,grow5,3,311,1570,351,1976,2014,grow5_gt3,1,24,10,32,24
United Kingdom,1999,grow5,4,59,1570,351,1976,2014,grow5_gt4,1,24,10,33,24
United Kingdom,1999,incgap5,1,2856,2883,351,1976,2014,incgap5_gt1,1,24,11,34,24
United Kingdom,1999,incgap5,2,2702,2883,351,1976,2014,incgap5_gt2,1,24,11,35,24
United Kingdom,1999,incgap5,3,2413,2883,351,1976,2014,incgap5_gt3,1,24,11,36,24
United Kingdom,1999,incgap5,4,1237,2883,351,1976,2014,incgap5_gt4,1,24,11,37,24
United Kingdom,1999,incent10,1,910,974,351,1976,2014,incent10_gt1,1,24,12,38,24
United Kingdom,1999,incent10,2,833,974,351,1976,2014,incent10_gt2,1,24,12,39,24
United Kingdom,1999,incent10,3,708,974,351,1976,2014,incent10_gt3,1,24,12,40,24
United Kingdom,1999,incent10,4,597,974,351,1976,2014,incent10_gt4,1,24,12,41,24
United Kingdom,1999,incent10,5,498,974,351,1976,2014,incent10_gt5,1,24,12,42,24
United Kingdom,1999,incent10,6,340,974,351,1976,2014,incent10_gt6,1,24,12,43,24
United Kingdom,1999,incent10,7,221,974,351,1976,2014,incent10_gt7,1,24,12,44,24
United Kingdom,1999,incent10,8,118,974,351,1976,2014,incent10_gt8,1,24,12,45,24
United Kingdom,1999,incent10,9,46,974,351,1976,2014,incent10_gt9,1,24,12,46,24
United Kingdom,1999,incdiff,1,613,758,351,1976,2014,incdiff_gt1,1,24,13,47,24
United Kingdom,1999,incdiff,2,237,758,351,1976,2014,incdiff_gt2,1,24,13,48,24
United Kingdom,1999,incdiff,3,114,758,351,1976,2014,incdiff_gt3,1,24,13,49,24
United Kingdom,1999,incdiff,4,17,758,351,1976,2014,incdiff_gt4,1,24,13,50,24
United Kingdom,2.00E+03,gov.res5,1,858,897,351,1976,2014,gov.res5_gt1,1,25,5,11,25
United Kingdom,2.00E+03,gov.res5,2,710,897,351,1976,2014,gov.res5_gt2,1,25,5,12,25
United Kingdom,2.00E+03,gov.res5,3,556,897,351,1976,2014,gov.res5_gt3,1,25,5,13,25
United Kingdom,2.00E+03,gov.res5,4,176,897,351,1976,2014,gov.res5_gt4,1,25,5,14,25
United Kingdom,2.00E+03,redist5,1,2658,2944,351,1976,2014,redist5_gt1,1,25,7,19,25
United Kingdom,2.00E+03,redist5,2,1789,2944,351,1976,2014,redist5_gt2,1,25,7,20,25
United Kingdom,2.00E+03,redist5,3,1075,2944,351,1976,2014,redist5_gt3,1,25,7,21,25
United Kingdom,2.00E+03,redist5,4,169,2944,351,1976,2014,redist5_gt4,1,25,7,22,25
United Kingdom,2.00E+03,incdiff,1,742,2922,351,1976,2014,incdiff_gt1,1,25,13,47,25
United Kingdom,2.00E+03,incdiff,2,360,2922,351,1976,2014,incdiff_gt2,1,25,13,48,25
United Kingdom,2.00E+03,incdiff,3,205,2922,351,1976,2014,incdiff_gt3,1,25,13,49,25
United Kingdom,2.00E+03,incdiff,4,57,2922,351,1976,2014,incdiff_gt4,1,25,13,50,25
United Kingdom,2001,redist5,1,2521,2751,351,1976,2014,redist5_gt1,1,26,7,19,26
United Kingdom,2001,redist5,2,1701,2751,351,1976,2014,redist5_gt2,1,26,7,20,26
United Kingdom,2001,redist5,3,926,2751,351,1976,2014,redist5_gt3,1,26,7,21,26
United Kingdom,2001,redist5,4,137,2751,351,1976,2014,redist5_gt4,1,26,7,22,26
United Kingdom,2001,incgap5,1,1181,1205,351,1976,2014,incgap5_gt1,1,26,11,34,26
United Kingdom,2001,incgap5,2,1110,1205,351,1976,2014,incgap5_gt2,1,26,11,35,26
United Kingdom,2001,incgap5,3,970,1205,351,1976,2014,incgap5_gt3,1,26,11,36,26
United Kingdom,2001,incgap5,4,524,1205,351,1976,2014,incgap5_gt4,1,26,11,37,26
United Kingdom,2002,gov.res5,1,1970,2022,351,1976,2014,gov.res5_gt1,1,27,5,11,27
United Kingdom,2002,gov.res5,2,1564,2022,351,1976,2014,gov.res5_gt2,1,27,5,12,27
United Kingdom,2002,gov.res5,3,1254,2022,351,1976,2014,gov.res5_gt3,1,27,5,13,27
United Kingdom,2002,gov.res5,4,235,2022,351,1976,2014,gov.res5_gt4,1,27,5,14,27
United Kingdom,2002,redist5,1,2506,2821,351,1976,2014,redist5_gt1,1,27,7,19,27
United Kingdom,2002,redist5,2,1705,2821,351,1976,2014,redist5_gt2,1,27,7,20,27
United Kingdom,2002,redist5,3,974,2821,351,1976,2014,redist5_gt3,1,27,7,21,27
United Kingdom,2002,redist5,4,205,2821,351,1976,2014,redist5_gt4,1,27,7,22,27
United Kingdom,2002,redist2,1,723,1119,351,1976,2014,redist2_gt1,1,27,15,52,27
United Kingdom,2003,redist5,1,3157,3528,351,1976,2014,redist5_gt1,1,28,7,19,28
United Kingdom,2003,redist5,2,2011,3528,351,1976,2014,redist5_gt2,1,28,7,20,28
United Kingdom,2003,redist5,3,1153,3528,351,1976,2014,redist5_gt3,1,28,7,21,28
United Kingdom,2003,redist5,4,212,3528,351,1976,2014,redist5_gt4,1,28,7,22,28
United Kingdom,2004,gov.res5,1,1814,1863,351,1976,2014,gov.res5_gt1,1,29,5,11,29
United Kingdom,2004,gov.res5,2,1528,1863,351,1976,2014,gov.res5_gt2,1,29,5,12,29
United Kingdom,2004,gov.res5,3,1104,1863,351,1976,2014,gov.res5_gt3,1,29,5,13,29
United Kingdom,2004,gov.res5,4,287,1863,351,1976,2014,gov.res5_gt4,1,29,5,14,29
United Kingdom,2004,redist5,1,2372,2547,351,1976,2014,redist5_gt1,1,29,7,19,29
United Kingdom,2004,redist5,2,1725,2547,351,1976,2014,redist5_gt2,1,29,7,20,29
United Kingdom,2004,redist5,3,996,2547,351,1976,2014,redist5_gt3,1,29,7,21,29
United Kingdom,2004,redist5,4,228,2547,351,1976,2014,redist5_gt4,1,29,7,22,29
United Kingdom,2004,grow5,1,1511,1605,351,1976,2014,grow5_gt1,1,29,10,30,29
United Kingdom,2004,grow5,2,922,1605,351,1976,2014,grow5_gt2,1,29,10,31,29
United Kingdom,2004,grow5,3,399,1605,351,1976,2014,grow5_gt3,1,29,10,32,29
United Kingdom,2004,grow5,4,47,1605,351,1976,2014,grow5_gt4,1,29,10,33,29
United Kingdom,2004,incgap5,1,1649,1667,351,1976,2014,incgap5_gt1,1,29,11,34,29
United Kingdom,2004,incgap5,2,1456,1667,351,1976,2014,incgap5_gt2,1,29,11,35,29
United Kingdom,2004,incgap5,3,1084,1667,351,1976,2014,incgap5_gt3,1,29,11,36,29
United Kingdom,2004,incgap5,4,294,1667,351,1976,2014,incgap5_gt4,1,29,11,37,29
United Kingdom,2004,incdiff,1,1512,2575,351,1976,2014,incdiff_gt1,1,29,13,47,29
United Kingdom,2004,incdiff,2,948,2575,351,1976,2014,incdiff_gt2,1,29,13,48,29
United Kingdom,2004,incdiff,3,568,2575,351,1976,2014,incdiff_gt3,1,29,13,49,29
United Kingdom,2004,incdiff,4,172,2575,351,1976,2014,incdiff_gt4,1,29,13,50,29
United Kingdom,2005,redist5,1,3271,3498,351,1976,2014,redist5_gt1,1,30,7,19,30
United Kingdom,2005,redist5,2,2355,3498,351,1976,2014,redist5_gt2,1,30,7,20,30
United Kingdom,2005,redist5,3,1398,3498,351,1976,2014,redist5_gt3,1,30,7,21,30
United Kingdom,2005,redist5,4,282,3498,351,1976,2014,redist5_gt4,1,30,7,22,30
United Kingdom,2005,incent10,1,951,1018,351,1976,2014,incent10_gt1,1,30,12,38,30
United Kingdom,2005,incent10,2,910,1018,351,1976,2014,incent10_gt2,1,30,12,39,30
United Kingdom,2005,incent10,3,763,1018,351,1976,2014,incent10_gt3,1,30,12,40,30
United Kingdom,2005,incent10,4,633,1018,351,1976,2014,incent10_gt4,1,30,12,41,30
United Kingdom,2005,incent10,5,510,1018,351,1976,2014,incent10_gt5,1,30,12,42,30
United Kingdom,2005,incent10,6,359,1018,351,1976,2014,incent10_gt6,1,30,12,43,30
United Kingdom,2005,incent10,7,278,1018,351,1976,2014,incent10_gt7,1,30,12,44,30
United Kingdom,2005,incent10,8,185,1018,351,1976,2014,incent10_gt8,1,30,12,45,30
United Kingdom,2005,incent10,9,131,1018,351,1976,2014,incent10_gt9,1,30,12,46,30
United Kingdom,2006,gov.res4,1,783,870,351,1976,2014,gov.res4_gt1,1,31,4,8,31
United Kingdom,2006,gov.res4,2,587,870,351,1976,2014,gov.res4_gt2,1,31,4,9,31
United Kingdom,2006,gov.res4,3,236,870,351,1976,2014,gov.res4_gt3,1,31,4,10,31
United Kingdom,2006,gov.res5,1,2271,2361,351,1976,2014,gov.res5_gt1,1,31,5,11,31
United Kingdom,2006,gov.res5,2,1862,2361,351,1976,2014,gov.res5_gt2,1,31,5,12,31
United Kingdom,2006,gov.res5,3,1340,2361,351,1976,2014,gov.res5_gt3,1,31,5,13,31
United Kingdom,2006,gov.res5,4,311,2361,351,1976,2014,gov.res5_gt4,1,31,5,14,31
United Kingdom,2007,redist5,1,3226,3482,351,1976,2014,redist5_gt1,1,32,7,19,32
United Kingdom,2007,redist5,2,2348,3482,351,1976,2014,redist5_gt2,1,32,7,20,32
United Kingdom,2007,redist5,3,1320,3482,351,1976,2014,redist5_gt3,1,32,7,21,32
United Kingdom,2007,redist5,4,257,3482,351,1976,2014,redist5_gt4,1,32,7,22,32
United Kingdom,2008,gov.res5,1,2252,2326,351,1976,2014,gov.res5_gt1,1,33,5,11,33
United Kingdom,2008,gov.res5,2,1831,2326,351,1976,2014,gov.res5_gt2,1,33,5,12,33
United Kingdom,2008,gov.res5,3,1357,2326,351,1976,2014,gov.res5_gt3,1,33,5,13,33
United Kingdom,2008,gov.res5,4,399,2326,351,1976,2014,gov.res5_gt4,1,33,5,14,33
United Kingdom,2008,redist5,1,3570,3901,351,1976,2014,redist5_gt1,1,33,7,19,33
United Kingdom,2008,redist5,2,2391,3901,351,1976,2014,redist5_gt2,1,33,7,20,33
United Kingdom,2008,redist5,3,1388,3901,351,1976,2014,redist5_gt3,1,33,7,21,33
United Kingdom,2008,redist5,4,290,3901,351,1976,2014,redist5_gt4,1,33,7,22,33
United Kingdom,2008,future.red4,1,957,1000,351,1976,2014,future.red4_gt1,1,33,16,53,33
United Kingdom,2008,future.red4,2,883,1000,351,1976,2014,future.red4_gt2,1,33,16,54,33
United Kingdom,2008,future.red4,3,562,1000,351,1976,2014,future.red4_gt3,1,33,16,55,33
United Kingdom,2009,free.eq2,1,530,1402,351,1976,2014,free.eq2_gt1,1,34,3,7,34
United Kingdom,2009,gov.res5,1,898,931,351,1976,2014,gov.res5_gt1,1,34,5,11,34
United Kingdom,2009,gov.res5,2,766,931,351,1976,2014,gov.res5_gt2,1,34,5,12,34
United Kingdom,2009,gov.res5,3,561,931,351,1976,2014,gov.res5_gt3,1,34,5,13,34
United Kingdom,2009,gov.res5,4,172,931,351,1976,2014,gov.res5_gt4,1,34,5,14,34
